Movie_Name;Director;Year;Jump_Count;Jump_Scare__Rating;Imdb;MPAA_Rating;Genre;Month;Budget;Worldwide_Gross;Netflix__(US);Duration;jump_IMDB_coef;jump_duration_ratio
Ghost Ship;Steve Beck;2002;12;3.0;5.5;R;Horror;October;20000000.0;68349884.0;Yes;91;66.0;0.13186813186813187
Ghost Stories;Jeremy Dyson, Andy Nyman;2017;20;4.0;6.4;NR;Drama, Horror;April;;4131358.0;No;98;128.0;0.20408163265306123
Ghostland;Pascal Laugier;2018;21;4.0;6.4;NR;Drama, Horror, Mystery;June;;5643957.0;No;91;134.4;0.23076923076923078
Goodnight Mommy;Severin Fiala, Veronika Franz;2014;1;0.5;6.7;R;Horror, Mystery, Thriller;September;;2193474.0;No;100;6.7;0.01
Goosebumps;Rob Letterman;2015;10;2.5;6.3;PG;Adventure, Comedy, Family;October;58000000.0;158260952.0;No;103;63.0;0.0970873786407767
Gothika;Mathieu Kassovitz;2003;16;3.5;5.8;R;Horror, Mystery, Thriller;November;40000000.0;141591324.0;Yes;98;92.8;0.16326530612244897
Grave Encounters;Colin Minihan, Stuart Ortiz;2011;12;4.0;6.1;NR;Horror;September;100000.0;1658053.0;No;92;73.19999999999999;0.13043478260869565
Green Room;Jeremy Saulnier;2015;1;0.5;7.0;R;Horror, Music, Thriller;May;5000000.0;3769214.0;Yes;95;7.0;0.010526315789473684
Gremlins;Joe Dante;1984;17;3.5;7.3;PG;Comedy, Fantasy, Horror;June;11000000.0;153120458.0;No;106;124.1;0.16037735849056603
Halloween;John Carpenter;1978;13;2.5;7.8;R;Horror, Thriller;October;325000.0;47000000.0;No;91;101.39999999999999;0.14285714285714285
Halloween;Rob Zombie;2007;9;3.0;6.1;NR;Horror;August;15000000.0;80253908.0;No;121;54.9;0.0743801652892562
Halloween;David Gordon Green;2018;14;3.5;7.8;R;Horror, Thriller;October;10000000.0;255485178.0;No;106;109.2;0.1320754716981132
Halloween H20: 20 Years Later;Steve Miner;1998;16;3.5;5.7;R;Horror, Thriller;August;17000000.0;55041738.0;No;86;91.2;0.18604651162790697
Halloween II;Rick Rosenthal;1981;8;2.0;6.5;R;Horror;October;2500000.0;25533818.0;No;92;52.0;0.08695652173913043
Halloween II;Rob Zombie;2009;16;3.0;4.9;NR;Horror;August;15000000.0;39421467.0;No;119;78.4;0.13445378151260504
Hannibal;Ridley Scott;2001;2;0.5;6.8;R;Crime, Drama, Thriller;February;87000000.0;351692268.0;No;132;13.6;0.015151515151515152
Hannibal Rising;Peter Webber;2007;0;0.0;6.2;R;Adventure, Crime, Drama;February;50000000.0;82169884.0;No;121;0.0;0.0
Happy Death Day 2U;Christopher Landon;2019;7;2.0;6.2;PG-13;Comedy, Horror, Mystery;February;9000000.0;64503067.0;No;100;43.4;0.07
Happy Death Day;Christopher Landon;2017;8;2.5;6.5;PG-13;Horror, Mystery, Thriller;October;4800000.0;125479266.0;No;96;52.0;0.08333333333333333
Hellboy;Guillermo del Toro;2004;6;1.5;6.8;PG-13;Action, Adventure, Fantasy;April;66000000.0;99378985.0;No;132;40.8;0.045454545454545456
Hellraiser;Clive Barker;1987;5;2.0;7.0;R;Horror, Thriller;September;1000000.0;14575193.0;No;86;35.0;0.05813953488372093
Here Alone;Rod Blackhurst;2016;2;0.5;5.6;NR;Drama, Horror, Sci-Fi;May;;25043.0;Yes;98;11.2;0.02040816326530612
Hereditary;Ari Aster;2018;8;2.0;7.3;R;Drama, Horror, Mystery;June;10000000.0;79336821.0;No;127;58.4;0.06299212598425197
Hidden;Matt Duffer, Ross Duffer;2015;4;1.5;6.4;R;Horror, Thriller;September;;;No;84;25.6;0.047619047619047616
Hide and Seek;John Polson;2005;16;3.5;6.0;R;Drama, Horror, Mystery;January;30000000.0;126809881.0;No;101;96.0;0.15841584158415842
High Tension;Alexandre Aja;2003;8;2.5;6.8;R;Horror;June;2200000.0;6291958.0;No;89;54.4;0.0898876404494382
Holidays;Various Directors;2016;5;2.0;5.1;NR;Fantasy, Horror, Mystery;April;;55621.0;Yes;105;25.5;0.047619047619047616
Hollow Man;Paul Verhoeven;2000;9;2.5;5.8;R;Action, Horror, Sci-Fi;August;95000000.0;190213455.0;No;119;52.199999999999996;0.07563025210084033
Honeymoon;Leigh Janiak;2014;3;0.5;5.7;R;Horror, Mystery, Thriller;September;1000000.0;24343.0;No;87;17.1;0.034482758620689655
Horns;Alexandre Aja;2013;3;0.5;6.5;R;Crime, Drama, Fantasy;October;;3875442.0;No;120;19.5;0.025
Hostel;Eli Roth;2005;2;0.5;5.9;R;Horror;January;4800000.0;80578934.0;No;93;11.8;0.021505376344086023
Hounds of Love;Ben Young;2016;0;0.0;6.5;NR;Crime, Drama, Thriller;May;;234419.0;No;108;0.0;0.0
Hour of the Wolf;Ingmar Bergman;1968;1;0.5;7.7;NR;Drama, Horror;April;;;No;90;7.7;0.011111111111111112
House;Steve Miner;1986;11;3.0;6.2;R;Comedy, Fantasy, Horror;February;3000000.0;19444631.0;No;93;68.2;0.11827956989247312
House of 1000 Corpses;Rob Zombie;2003;6;2.5;6.1;R;Horror;April;7000000.0;16829545.0;No;105;36.599999999999994;0.05714285714285714
House of Wax;Jaume Collet-Serra;2005;16;4.0;5.3;R;Horror;May;40000000.0;68766121.0;No;108;84.8;0.14814814814814814
House on Haunted Hill;William Malone;1999;14;3.0;5.6;R;Horror, Mystery, Thriller;October;37000000.0;42593455.0;No;93;78.39999999999999;0.15053763440860216
Hush;Mike Flanagan;2016;7;2.5;6.6;R;Horror, Thriller;April;1000000.0;;Yes;87;46.199999999999996;0.08045977011494253
I Am Legend;Francis Lawrence;2007;9;2.5;7.2;PG-13;Drama, Sci-Fi, Thriller;December;150000000.0;585349010.0;No;104;64.8;0.08653846153846154
I Am Not a Serial Killer;Billy O’Brien;2016;3;1.0;6.2;NR;Drama, Horror, Thriller;August;1254470.0;21148.0;No;104;18.6;0.028846153846153848
I Am the Pretty Thing That Lives in the House;Oz Perkins;2016;4;0.5;4.5;NR;Horror, Mystery, Thriller;October;;;Yes;87;18.0;0.04597701149425287
I Know What You Did Last Summer;Jim Gillespie;1997;13;3.5;5.7;R;Horror, Mystery;October;17000000.0;125586134.0;Yes;99;74.10000000000001;0.13131313131313133
Identity;James Mangold;2003;11;2.5;7.3;R;Mystery, Thriller;April;28000000.0;90259536.0;No;91;80.3;0.12087912087912088
