Movie Name,Director,Year,Jump Count,Jump Scare  Rating,Imdb,MPAA Rating,Genre,Month,Budget,Worldwide Gross,Netflix  (US),Duration,Rotten Tomatoes,Language,Country,,,,
Flatliners,Joel Schumacher,1990,7,2,6.6,R,"Drama, Horror, Sci-Fi",August,"$26,000,000","$61,489,265",Yes,115,,,,,,,
Flatliners,Niels Arden Oplev,2017,20,4,5,PG-13,"Drama, Horror, Mystery",September,"$19,000,000","$45,158,254",No,109,,,,,,,
Frailty,Bill Paxton,2001,0,0,7.2,R,"Crime, Drama, Thriller",April,"$11,000,000","$17,423,030",No,100,,,,,,,
Freddy vs. Jason,Ronny Yu,2003,24,4,5.7,R,"Action, Horror",August,"$30,000,000","$114,908,830",No,97,,,,,,,
Friday the 13th,Sean S. Cunningham,1980,10,3,6.5,R,"Horror, Mystery, Thriller",May,"$550,000","$39,754,601",No,95,,,,,,,
Friday the 13th,Marcus Nispel,2009,23,4,5.6,R,"Horror, Mystery, Thriller",February,"$19,000,000","$91,379,051",No,97,,,,,,,
Friend Request,Simon Verhoeven,2016,21,4,5.3,R,"Horror, Mystery, Thriller",September,"$9,900,000","$10,975,390",Yes,92,,,,,,,
Fright Night,Craig Gillespie,2011,10,3,6.3,R,"Comedy, Horror",August,"$30,000,000","$41,002,607",No,106,,,,,,,
Funny Games,Michael Haneke,1997,1,0.5,7.6,NR,"Crime, Drama, Thriller",March,,,No,108,,,,,,,
Funny Games,Michael Haneke,2007,1,0.5,6.5,R,"Crime, Drama, Thriller",April,"$15,000,000","$7,938,872",No,111,,,,,,,
Gerald's Game,Mike Flanagan,2017,3,0.5,6.6,TV-MA,"Drama, Horror, Thriller",September,,,Yes,103,,,,,,,
Get Out,Jordan Peele,2017,10,2.5,7.7,R,"Horror, Mystery, Thriller",February,"$4,500,000","$255,413,717",No,104,,,,,,,
Ghost Ship,Steve Beck,2002,12,3,5.5,R,Horror,October,"$20,000,000","$68,349,884",Yes,91,,,,,,,
Ghost Stories,"Jeremy Dyson, Andy Nyman",2017,20,4,6.4,NR,"Drama, Horror",April,,"$4,131,358",No,98,,,,,,,
Ghostland,Pascal Laugier,2018,21,4,6.4,NR,"Drama, Horror, Mystery",June,,"$5,643,957",No,91,,,,,,,
